Quote_TR,,Author,Topic
"Zorlu toprağı yarıp güçlü ağaçlara dönüşen küçücük tohumlar gibi, biz de içimizde hayal edemeyeceğimiz kadar büyük bir güce sahibiz. Biz dayanıklıyız.","Like tiny seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient.",Malala Yousafzai,
Zorluklar çoğu zaman sıradan insanları olağanüstü bir kadere hazırlar.,Hardships often prepare ordinary people for an extraordinary destiny.,,
Dolaşan herkes yolunu kaybetmiş değildir.,Not all those who wander are lost.,J. R. R. Tolkien,
"Hayat ancak geriye doğru anlaşılabilir, ileriye doğru yaşanması gerekir.",Life can only be understood backwards but it must be lived forwards.,,
"Uçamıyorsan koş, koşamıyorsan yürü, yürüyemiyorsan sürün ama ne yaparsan yap ilerlemeye devam etmelisin.","If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",,
Kendinize şunu sorun: Bugün nazik davrandınız mı? İyiliği çalışma tarzınız haline getirin ve dünyanızı değiştirin.,Ask yourself: Have you been kind today? Make kindness your modus operandi and change your world.,,
"İnsanlar için bir şeyler yapın, kim olduklarına ya da karşılığında ne yaptıklarına göre değil, kim olduğunuza göre yapın.","Do things for people not because of who they are or what they do in return, but because of who you are.",,
"Ah, nezaket. Mücadele eden başka bir ruha dünyada sevginin bulunabileceğini söylemenin ne kadar basit bir yolu.","Ah, kindness. What a simple way to tell another struggling soul that there is love to be found in the world.",,
Tünelin sonunda ışık olduğuna inanın. Başka biri için o ışık olabileceğinize inanın.,Believe that there's light at the end of the tunnel. Believe that you might be that light for someone else.,,
"Başkalarına yardım etmek için büyük fırsatlar nadiren gelir, ancak küçük fırsatlar her gün etrafımızı sarar.","Great opportunities to help others seldom come, but small ones surround us every day.",,
Sahip olduğunda başkalarına ver; öğrendiğinde ise bildiklerini başkalarıyla paylaş.,"If you get, give. If you learn, teach.",Maya Angelou,
"Gelecek, hayallerinin güzelliğine inananlarındır.",The future belongs to those who believe in the beauty of their dreams.,,
"Eğer kışımız olmasaydı bahar bu kadar hoş olmazdı; eğer bazen sıkıntıları tatmasaydık, refah bu kadar hoş karşılanmazdı.","If we had no winter, the spring would not be so pleasant; if we did not sometimes taste of adversity, prosperity would not be so welcome.",,
"İmkânları görebilen biri ol. Hayat ne kadar zor ya da karanlık görünürse görünsün, umudunu ve bakış açını geniş tut. Her zaman yeni olasılıkları fark etmeye çalış; çünkü her durumda mutlaka bir çıkış yolu vardır.","Become a possibilitarian. No matter how dark things seem to be or actually are, raise your sights and see possibilities—always see them, for they’re always there.",Norman Vincent Peale,
"Paylaşan hiç kimse, verdiği için yoksullaşmamıştır.",No one has ever become poor by giving.,Anne Frank,
"Nerede ihtiyaç sahibi bir insan varsa, orada iyilik yapma ve fark yaratma fırsatı da vardır.","Wherever there is a human in need, there is an opportunity for kindness and to make a difference.",,
"Toprağa dokunun, sevgiden bahsedin, ortak noktada buluşun.","Touch the earth, speak of love, walk on common ground.",Stephen Covey,
Hepimiz mutlu olma hedefiyle yaşıyoruz; hayatlarımız farklı ama yine de aynı.,We all live with the objective of being happy; our lives are all different and yet the same.,,
Benzerliklerimiz bizi ortak bir zeminde buluşturur; farklılıklarımız ise birbirimize hayranlık duymamızı sağlar.,Our similarities bring us to a common ground; our differences allow us to be fascinated by each other.,Tom Robbins,
"Birbirimizi anlamayı, kendimizden bir parçayı başkalarında görmeyi ve insanların aslında düşündüğümüzden çok daha fazla ortak yönü olduğunu öğrenebiliriz.",We can learn to see each other and see ourselves in each other and recognize that human beings are more alike than we are unalike.,Maya Angelou,
Hayatınızı aksiyonla doldurun. Bunun olmasını beklemeyin. Bunu gerçekleştirin. Kendi geleceğinizi yaratın. Kendi umudunuz olun.,Infuse your life with action. Don't wait for it to happen. Make it happen. Make your own future. Make your own hope.,Bradley Whitford,
"Umut görünmeyeni görür, soyut olanı hisseder ve imkansızı başarır.","Hope sees the invisible, feels the intangible, and achieves the impossible.",,
Çoğu zaman en parlak yıldızları en karanlık gökyüzünde görürüz.,It is often in the darkest skies that we see the brightest stars.,,
"İçinizdeki küçücük olasılık kıvılcımlarını, başarı alevlerine dönüştürerek kendinizin en iyi hâline ulaşın.","Make the most of yourself by fanning the tiny, inner sparks of possibility into flames of achievement.",Golda Meir,
Kim olduğunun ya da nereden geldiğinin önemi yoktur. Başarma gücü seninle başlar.,It doesn't matter who you are or where you come from. The ability to triumph begins with you.,Oprah Winfrey,
İmkansızı başarmak için düşünülmesi gereken tam da düşünülemez olandır.,"To achieve the impossible, it is precisely the unthinkable that must be thought.",,
Şükran hayatın doluluğunun kilidini açar. Sahip olduklarımızı yeterliye ve daha fazlasına dönüştürür.,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more.",,
"Başkalarına hizmet etmek için çalışın ve yaşayın, dünyayı bulduğunuzdan biraz daha iyi bırakın.","Work and live to serve others, leave the world a little better than you found it.",,
"Cömertlik verilen miktardan değil, bahşedilme tarzından oluşur.","Generosity consists not the sum given, but the manner in which it is bestowed.",,
Gerekli şeylerde birlik; tartışmalı konularda özgürlük; her şeyde hayırseverlik.,"In necessary things, unity; in disputed things, liberty; in all things, charity.",,
Başkalarının mutlu olmasını istiyorsanız şefkat gösterin; Mutlu olmak istiyorsanız da şefkat gösterin.,"If you want others to be happy, practice compassion; if you want to be happy, practice compassion.",Dalai Lama XIV,
Bunu defalarca duymuş olabilirsin ama gerçek şu ki: emek her zaman karşılığını verir. İyi olmak istiyorsan sürekli pratik yapmalısın.,"I know you've heard it a thousand times before, but it's true... hard work pays off. If you want to be good, you have to practice, practice, practice.",Ray Allen,
"Şansını dene, hata yap. Bu şekilde büyürsün.","Take chances, make mistakes. That's how you grow.",,
"Hayatta hangi yollardan geçerseniz geçin, birkaçının mutlaka tozlu toprak yollar olmalarına izin verin.","Of all the paths you take in life, make sure a few of them are dirt.",John Muir,
Doğa her türlü sıkıntıya teselli verir.,Nature brings solace in all troubles.,,
"Affetmek, bir mahkumu serbest bırakmak ve mahkumun kendiniz olduğunu keşfetmektir.",To forgive is to set a prisoner free and discover that the prisoner was you.,,
"Birçok seçeneğiniz var. İntikam yerine affetmeyi, umutsuzluk yerine neşeyi seçebilirsiniz. Kayıtsızlık yerine eylemi seçebilirsiniz.","You have many choices. You can choose forgiveness over revenge, joy over despair. You can choose action over apathy.",,
"Hatalar her zaman affedilebilir, eğer kişi onları kabul etme cesaretine sahipse.","Mistakes are always forgivable, if one has the courage to admit them.",,
Karakter üçüncü ve dördüncü denemede yaptıklarınızdan oluşur.,Character consists of what you do on the third and fourth tries.,,
"Gül dostum, çünkü kahkaha karnının derinliklerinde bir ateş yakar ve tüm varlığını canlandırır.","Laugh my friend, for laughter ignites a fire within the pit of your belly and awakens your being.",John O'Donohue,
"Tüm günlerin en boşa harcanan olanı, kahkaha atılmayan gündür.",The most wasted of all days is one without laughter.,,
"Duvarlarınız neşeyle dolsun, her oda kahkahalarla dolu olsun ve her pencere büyük olasılıklara açılsın.","May your walls know joy, may every room hold laughter, and every window open to great possibility.",,
Kahkaha iki kişi arasındaki en kısa mesafedir.,Laughter is the shortest distance between two people.,,
Dikkatlice dinleyin. En derin sorularımızın yanıtları sıklıkla fısıldanır.,Listen carefully. The answers to our deepest questions are often whispered.,,
"Dinlemek sadece sessiz olmakla ilgili değil, mevcut olmakla ilgilidir.","Listening is about being present, not just about being quiet.",,
"Çoğu zaman bir dokunuşun, bir gülümsemenin, nazik bir sözün gücünü hafife alıyoruz; bunların hepsi bir hayatı değiştirme potansiyeline sahip.","Too often we underestimate the power of a touch, a smile, a kind word... all of which have the potential to turn a life around.",,
"Dinlemek sevginin başladığı yerdir: önce kendimizi, sonra da etrafımızdakileri dinlemek.",Listening is where love begins: listening to ourselves and then to our neighbors.,,
"Kendinize olan güveninizde alçakgönüllü, karakterinizde ise cesur olun.",Be humble in your confidence yet courageous in your character.,,
"Alçakgönüllülük, kendini küçümsemek değil; kendini daha az merkeze koymaktır.","Humility is not thinking less of yourself, it's thinking of yourself less.",C. S. Lewis,
"Gerçek alçakgönüllülük, iltifatları kabul ettiğimiz kadar eleştirileri de nezaketle kabul edebilmektir.",True humility is being able to accept criticisms as graciously as we accept compliments.,,
"Kibir, kimin haklı olduğu ile ilgilenir. Alçakgönüllülük ise neyin doğru olduğu ile ilgilenir.",Pride is concerned with who is right. Humility is concerned with what is right.,Ezra Taft Benson,
Alçakgönüllülük tüm erdemlerin sağlam temelidir.,Humility is the solid foundation of all virtues.,,
"Kabullenmek, pes etmek demek değildir; bir şeyin ne olduğunu anlamak ve onun içinden bir çıkış yolu olduğuna inanmak demektir.”",Acceptance doesn't mean resignation; it means understanding that something is what it is and that there's got to be a way through it.,Michael J. Fox,
"Kabul, pratikte sadece sevgidir. Sevdiğin zaman kabullenirsin, sevgin olmadığında yargılarsın.","Acceptance is simply love in practice. When you love, you accept, when you lack love, you judge.",,
"En kalıcı değişimi sağlayanın genellikle büyük sıçramalar değil, küçük adımlar olduğunu hatırlamakta fayda var.","It's worth remembering that it is often the small steps, not the giant leaps, that bring about the most lasting change.",,
Kendinize inanın ve ve hedeflerinizin peşinden gidin.,Believe in yourself and go for it.,,
"Hayallerinize inanın. Bir şeyleri başarmanın; inanç, kendine güven, vizyon, sıkı çalışma, kararlılık ve adanmışlık gerektirdiğini anlayın. Unutmayın ki: inananlar için her şey mümkündür.","Keep your dreams alive. Understand to achieve anything requires faith and belief in yourself, vision, hard work, determination, and dedication. Remember all things are possible for those who believe.",Gail Devers,
Kendinize ve olduğunuz her şeye inanın. İçinizde her türlü engelden daha büyük bir şeyin olduğunu bilin.,Believe in yourself and all that you are. Know that there is something inside you that is greater than any obstacle.,,
"Başkalarının size neyi yapamayacağınızı söylemesine izin vermeyin. Başkalarının sınırlamalarının görüşünüzü sınırlamasına izin vermeyin. Eğer kendinizden şüphe duymayı ortadan kaldırabilir ve kendinize inanırsanız, asla mümkün olmadığını düşündüğünüz şeyleri başarabilirsiniz.","Don’t let others tell you what you can’t do. Don't let the limitations of others limit your vision. If you can remove your self-doubt and believe in yourself, you can achieve what you never thought possible.",,
"Bittiği için ağlama, yaşandı diye gülümse.","Don't cry because it's over, smile because it happened.",,
Gülümseme her şeyi yoluna koyan bir eğridir.,A smile is a curve that sets everything straight.,,
Tek bir gülümseme evrenin güzelliğini inanılmaz derecede arttırır.,"Just one smile, immensely increases the beauty, of the universe.",,
"Gülümsemeyen birini görürsen, ona seninkilerden birini ver.","If you see someone without a smile, give them one of yours.",,
"Aldığımız her nefes, attığımız her adım; huzur, sevinç ve rahatlıkla dolabilir.","Every breath we take, every step we make, can be filled with peace, joy and serenity.",Thich Nhat Hanh,
"Zihnimizde huzur, uyum ve denge yarattığımızda, bunları yaşamlarımızda da bulacağız.","When we create peace and harmony and balance in our minds, we will find it in our lives.",,
Barış bir gülümsemeyle başlar.,Peace begins with a smile.,,
"Sevgiyi seçin ve barış gelecektir. Barışı seçin, sevgi gelecektir.",Choose love and peace will follow. Choose peace and love will follow.,,
"Sevgi ve kahkaha günlerinizi aydınlatsın, kalbinizi ve evinizi ısıtsın. Nerede olursanız olun iyi ve sadık dostlar sizin olsun...","May love and laughter light your days, and warm your heart and home. May good and faithful friends be yours wherever you may roam...",,
Sevdiğimiz şeylerin içinde kendimizi kaybederiz. Aynı zamanda kendimizi de en çok orada buluruz.,"We lose ourselves in the things we love. We find ourselves there, too.",Kristin Hannah,
"Evrendeki herkes kadar, siz de kendi sevginizi ve şefkatinizi hak ediyorsunuz.","You yourself, as much as anybody in the entire universe deserve your love and affection.",Buddha,
